round,train_logloss,val_pr_auc,time_s
851,0.1542,0.7815,0.1
852,0.1541,0.7815,0.1
853,0.154,0.7815,0.1
854,0.1539,0.7816,0.1
855,0.1538,0.7816,0.1
856,0.1537,0.7817,0.1
857,0.1535,0.7819,0.1
858,0.1533,0.782,0.1
859,0.1532,0.7822,0.1
860,0.1531,0.7823,0.1
861,0.1529,0.7826,0.1
862,0.1528,0.7827,0.1
863,0.1527,0.7828,0.1
864,0.1526,0.7829,0.1
865,0.1524,0.783,0.1
866,0.1523,0.783,0.1
867,0.1523,0.783,0.1
868,0.1522,0.7831,0.1
869,0.1521,0.7832,0.1
870,0.152,0.7833,0.1
871,0.1518,0.7836,0.1
872,0.1517,0.7836,0.1
873,0.1515,0.7838,0.1
874,0.1514,0.784,0.1
875,0.1513,0.7839,0.1
876,0.1512,0.7841,0.1
877,0.1511,0.7841,0.1
878,0.1509,0.7843,0.1
879,0.1508,0.7843,0.1
