round,train_logloss,val_pr_auc,time_s
561,0.1988,0.729,0.1
562,0.1986,0.729,0.1
563,0.1986,0.7291,0.1
564,0.1985,0.7295,0.1
565,0.1983,0.7296,0.1
566,0.1981,0.7298,0.1
567,0.1979,0.7302,0.1
568,0.1978,0.7306,0.1
569,0.1978,0.7307,0.1
570,0.1975,0.7307,0.1
571,0.1974,0.7307,0.1
572,0.1971,0.731,0.1
573,0.1969,0.7312,0.1
574,0.1968,0.7313,0.1
575,0.1966,0.7315,0.1
576,0.1963,0.7318,0.1
577,0.1962,0.7321,0.1
578,0.1961,0.7323,0.1
579,0.196,0.7323,0.1
580,0.1958,0.7323,0.1
581,0.1957,0.7324,0.1
582,0.1954,0.7326,0.1
583,0.1953,0.7328,0.1
584,0.1951,0.733,0.1
585,0.1949,0.7329,0.1
586,0.1947,0.733,0.1
587,0.1945,0.7329,0.1
588,0.1942,0.7331,0.1
589,0.194,0.7331,0.1
590,0.1939,0.7333,0.1
591,0.1937,0.7338,0.1
592,0.1935,0.7337,0.1
593,0.1933,0.7339,0.1
594,0.1931,0.734,0.1
595,0.1929,0.7341,0.1
596,0.1927,0.7343,0.1
597,0.1925,0.7346,0.1
598,0.1923,0.7348,0.1
599,0.1921,0.7349,0.1
600,0.192,0.735,0.1
601,0.1918,0.7352,0.1
602,0.1916,0.7354,0.1
603,0.1915,0.7355,0.1
604,0.1914,0.7358,0.1
605,0.1912,0.7358,0.1
606,0.1912,0.7359,0.1
607,0.191,0.7359,0.1
608,0.1908,0.7362,0.1
609,0.1906,0.7362,0.1
610,0.1905,0.7364,0.1
611,0.1902,0.7368,0.1
612,0.1901,0.737,0.1
613,0.19,0.7371,0.1
614,0.1898,0.7373,0.1
615,0.1896,0.7375,0.1
616,0.1895,0.7375,0.1
617,0.1893,0.7376,0.1
618,0.1891,0.7376,0.1
619,0.189,0.7379,0.1
620,0.1887,0.7381,0.1
621,0.1885,0.7381,0.1
622,0.1883,0.7382,0.1
623,0.1881,0.7383,0.1
624,0.188,0.7383,0.1
625,0.1878,0.7386,0.1
626,0.1876,0.7388,0.1
627,0.1875,0.7388,0.1
628,0.1873,0.7388,0.1
629,0.1872,0.7389,0.1
630,0.187,0.7392,0.1
631,0.187,0.7396,0.1
632,0.1868,0.7397,0.1
633,0.1866,0.7397,0.1
634,0.1865,0.7398,0.1
635,0.1862,0.74,0.1
636,0.186,0.7403,0.1
637,0.1858,0.7403,0.1
638,0.1857,0.7405,0.1
639,0.1855,0.7406,0.1
640,0.1854,0.7407,0.1
641,0.1853,0.7408,0.1
642,0.1852,0.741,0.1
